id;title;video_url;video_url_content_type;description;date;tags;views
1;deposit frictionless;../fake-data/blob/hipster.png;image/png;Customer-focused;2020-05-28T03:04:57;EDU;24885
2;4th generation;../fake-data/blob/hipster.png;image/png;Namibia;2020-05-27T22:13:38;ENTERTAINMENT;17847
3;Avon;../fake-data/blob/hipster.png;image/png;Programmable generating;2020-05-28T03:15:36;COMMEDY;63356
4;bluetooth program;../fake-data/blob/hipster.png;image/png;e-tailers Re-engineered;2020-05-27T22:12:45;CORONA;79358
5;Sausages Equatorial Guinea Inc;../fake-data/blob/hipster.png;image/png;Granite static;2020-05-27T17:36:54;CORONA;66278
6;Rubber withdrawal Product;../fake-data/blob/hipster.png;image/png;Home connecting Plastic;2020-05-27T14:32:24;COMMEDY;51676
7;empowering Optimization;../fake-data/blob/hipster.png;image/png;Automotive generating overriding;2020-05-28T09:35:31;CORONA;10596
8;Senior Paraguay Refined;../fake-data/blob/hipster.png;image/png;Fresh;2020-05-27T16:50:43;EDU;54948
9;Berkshire synthesizing Generic;../fake-data/blob/hipster.png;image/png;Berkshire AGP;2020-05-27T12:16:13;ENTERTAINMENT;53033
10;architect Cloned Kids;../fake-data/blob/hipster.png;image/png;Frozen South Georgia and the South Sandwich Islands Licensed Concrete Towels;2020-05-27T22:10:16;ENTERTAINMENT;12932
